degree,n_delays,delay_samples,smooth_window_samples,configuration_35hz,configuration_80hz,completed_trials_35hz,completed_trials_80hz,completed_trials_difference_80_minus_35,all_9_completed_35hz,all_9_completed_80hz,coefficient_cosine_similarity,coefficient_relative_l2_change_from_35hz
1,2,1,0,1,109,9,9,0,True,True,0.9999552072403695,0.14631076685100664
1,2,1,5,2,110,9,9,0,True,True,0.9999821606761188,0.08599474878031421
1,2,1,9,3,111,9,9,0,True,True,0.9999987148446066,0.018678794718683712
1,2,2,0,4,112,9,9,0,True,True,0.9996795347999926,0.2057361471057698
1,2,2,5,5,113,9,9,0,True,True,0.9998393872085605,0.13241683237553384
1,2,2,9,6,114,9,9,0,True,True,0.9999895592160669,0.02712356908868933
1,2,5,0,7,115,9,9,0,True,True,0.9998810698236588,0.1363316820906364
1,2,5,5,8,116,9,9,0,True,True,0.9999236705138967,0.13392908642958487
1,2,5,9,9,117,9,9,0,True,True,0.9999172223983325,0.0542482445214114
1,4,1,0,10,118,9,9,0,True,True,0.9817142750690852,0.47543828434921026
1,4,1,5,11,119,9,9,0,True,True,0.993049003350118,0.34673345852600757
1,4,1,9,12,120,9,9,0,True,True,0.991061471768322,0.30460554745238505
1,4,2,0,13,121,9,9,0,True,True,0.8967377203765438,0.5916322266633038
1,4,2,5,14,122,9,9,0,True,True,0.9514087390821035,0.4716663713482813
1,4,2,9,15,123,9,9,0,True,True,0.9921593483109331,0.24448923435103012
1,4,5,0,16,124,9,9,0,True,True,0.998216223469949,0.15933301694861632
1,4,5,5,17,125,9,9,0,True,True,0.9982083696241074,0.1593263512934075
1,4,5,9,18,126,9,9,0,True,True,0.9987300787266509,0.08747978118136589
1,6,1,0,19,127,9,9,0,True,True,0.9446202209037697,0.7111726162161262
1,6,1,5,20,128,9,9,0,True,True,0.981615391081841,0.5598012308038087
1,6,1,9,21,129,9,9,0,True,True,0.9775683884808064,0.5711125507602115
1,6,2,0,22,130,9,9,0,True,True,0.7397696515203503,0.7571618700471977
1,6,2,5,23,131,9,9,0,True,True,0.8324934559670261,0.6711718246495963
