configuration_index,test_trial_id,window_index,window_start_s,window_duration_s,simulation_status,failure_reason,reached_duration_s,simulation_runtime_s,rhs_evaluations,simulated_samples,simulated_x0_rms_uv,compared_samples,x0_rmse_uv,trajectory_rmse_uv
15,4,0,0.0,1.996,success,,1.996,9.969288434833288,5921,500,23.07024531381239,500,33.541081138540136,33.53265140135697
15,4,1,2.0,1.996,success,,1.996,9.31015033274889,5414,500,21.31351000632844,500,39.31000508856958,39.29630256658933
15,4,2,4.0,1.996,success,,1.996,7.790151732042432,4644,500,16.19419810116616,500,35.24065429677829,35.1879592531689
15,4,3,6.0,1.996,success,,1.996,8.177063301205635,5018,500,26.251834665622646,500,39.65565883904874,39.41627856489067
15,4,4,8.0,1.996,success,,1.996,10.789935307577252,6468,500,47.66744647108936,500,52.26189234440311,52.0642532586311
15,4,5,10.0,1.996,success,,1.996,9.554728612303734,5657,500,23.190607200125665,500,34.42134925584656,34.30873920515536
15,4,6,12.0,1.996,success,,1.996,8.707691460847855,5284,500,43.970222470661454,500,49.90597980934239,49.72971616278484
15,4,7,14.0,0.064,success,,0.064,0.4813522957265377,291,17,9.188644014763089,17,25.610739011942552,15.939498998557
15,1088,0,0.0,1.996,success,,1.996,7.262264031916857,4397,500,101.54771971651466,500,107.85211795284917,107.68904522268464
15,1088,1,2.0,1.996,success,,1.996,7.9950126726180315,4728,500,15.751346647569228,500,36.615096056053964,36.59927066826371
15,1088,2,4.0,1.996,success,,1.996,12.561323020607233,7614,500,48.9987878019185,500,62.22678995586628,62.108242239072815
15,1088,3,6.0,1.996,success,,1.996,9.693077005445957,5770,500,83.16470149423725,500,96.70694448558983,96.53219297570963
15,1088,4,8.0,1.996,success,,1.996,7.8488080110400915,4687,500,52.255854692501785,500,95.05522911826436,95.05950951288108
15,1088,5,10.0,1.996,success,,1.996,6.9691718108952045,4206,500,20.125724990369626,500,46.71324321387031,46.65907564590787
15,1088,6,12.0,1.996,success,,1.996,7.637946903705597,4665,500,36.58161561962909,500,46.75554617974851,46.597654916188226
15,1088,7,14.0,0.176,success,,0.176,0.741442084312439,450,45,64.29254779704152,45,55.50495618599445,54.94636277002021
15,622,0,0.0,1.996,success,,1.996,7.363956563174725,4458,500,47.24791462347102,500,59.243678582936695,59.211765934625646
15,622,1,2.0,1.996,success,,1.996,8.342932596802711,5066,500,48.32518252066262,500,72.20767367900338,71.85728953480329
15,622,2,4.0,1.996,success,,1.996,9.467845968902111,5750,500,31.675611807899937,500,48.86726495379242,48.73396227201894
15,622,3,6.0,1.996,success,,1.996,9.25518148764968,5397,500,77.426360365502,500,84.506553285312,84.30896103455187
15,622,4,8.0,1.996,success,,1.996,9.517283711582422,5449,500,29.01201261286103,500,45.15030169764371,44.598609516901
15,622,5,10.0,1.996,success,,1.996,8.683510037139058,5057,500,26.337365841633797,500,44.024875472518715,44.012060209883565
15,622,6,12.0,1.996,success,,1.996,13.42410789616406,7964,500,28.931953387640352,500,47.58181576174168,47.4223764102549
15,622,7,14.0,0.17200000000000001,success,,0.17200000000000001,0.7869211137294769,482,44,59.736022138226424,44,93.29596137509441,89.92869614528676
15,620,0,0.0,1.996,success,,1.996,8.269023470580578,5068,500,19.83247167853342,500,38.355384071645595,38.286548111638616
15,620,1,2.0,1.996,success,,1.996,7.357617247849703,4423,500,66.9652760808073,500,75.34347401948304,74.00875904465362
15,620,2,4.0,1.996,success,,1.996,7.906722655519843,4661,500,125.97676774143132,500,136.1137830980993,135.00663439334542
15,620,3,6.0,1.996,failed,integration error: model derivative became non-finite,1.7793019600308295,32.7739836089313,19370,0,,0,,
15,620,4,8.0,1.996,success,,1.996,13.143123058602214,7658,500,23.79130226392231,500,43.83282390147457,43.876430621291036
15,620,5,10.0,1.996,success,,1.996,12.77478314191103,7347,500,30.079182640431622,500,58.78602690879625,58.78669505608522
15,620,6,12.0,1.996,success,,1.996,7.651964791119099,4379,500,25.324664615172967,500,42.43405227480161,42.37346411814547
15,620,7,14.0,0.17200000000000001,success,,0.17200000000000001,0.9099277481436729,503,44,34.30242631218946,44,43.36924580103325,41.019762914355454
