configuration_index,test_trial_id,window_index,window_start_s,window_duration_s,simulation_status,failure_reason,reached_duration_s,simulation_runtime_s,rhs_evaluations,simulated_samples,simulated_x0_rms_uv,compared_samples,x0_rmse_uv,trajectory_rmse_uv
20,4,0,0.0,1.996,success,,1.996,25.33866252936423,8570,500,17.95642077259005,500,28.726721142648614,28.629295727988133
20,4,1,2.0,1.996,success,,1.996,38.71602062880993,13209,500,7.5265003740807925,500,32.733766470615464,32.68242845542052
20,4,2,4.0,1.996,success,,1.996,16.34042522870004,5571,500,14.347903728942734,500,32.00563013947908,31.943787935842455
20,4,3,6.0,1.996,success,,1.996,22.289390979334712,7635,500,22.109301683787344,500,35.32209472642201,35.224442827556096
20,4,4,8.0,1.996,success,,1.996,30.14018090069294,10342,500,24.369913503440756,500,33.39931734797797,33.31579069305213
20,4,5,10.0,1.996,success,,1.996,21.591713724657893,7449,500,24.792904222457004,500,35.939238425614995,35.76619699848093
20,4,6,12.0,1.996,success,,1.996,21.461900075897574,7330,500,25.218664440131818,500,35.61933835460232,35.616338091518784
20,4,7,14.0,0.068,success,,0.068,0.6991558838635683,238,18,15.242337072207452,18,29.211074404368638,20.34664588611653
20,1088,0,0.0,1.996,success,,1.996,16.920953232795,5824,500,50.06731289364183,500,64.1474273316299,64.10150167825694
20,1088,1,2.0,1.996,success,,1.996,35.84263129718602,12398,500,6.090512854396164,500,36.83039393906364,36.797392133325005
20,1088,2,4.0,1.996,success,,1.996,37.79537378065288,13068,500,28.925154347370366,500,46.213064426998685,46.21844576443481
20,1088,3,6.0,1.996,success,,1.996,24.317530285567045,8370,500,28.569637239259293,500,47.13648785040608,46.99325249406127
20,1088,4,8.0,1.996,success,,1.996,24.20550050586462,8201,500,30.97524337064308,500,85.97481743261758,85.92268983286226
20,1088,5,10.0,1.996,success,,1.996,28.081163819879293,9728,500,16.14704100618591,500,44.88867118435706,44.83973142472274
20,1088,6,12.0,1.996,success,,1.996,22.918087417259812,7873,500,38.32911910514052,500,48.09683937556212,47.916133304211485
20,1088,7,14.0,0.18,success,,0.18,1.9197952430695295,656,46,81.2802876628518,46,69.59501833969216,68.03322786164269
20,622,0,0.0,1.996,success,,1.996,35.67733557522297,12342,500,25.997408183388128,500,44.23602505523911,44.11107773436292
20,622,1,2.0,1.996,success,,1.996,23.59268121048808,8117,500,35.390920040752505,500,59.047260978677265,58.8694257901578
20,622,2,4.0,1.996,success,,1.996,37.30626995302737,12818,500,22.030485652820037,500,38.18116702327379,38.1143826038167
20,622,3,6.0,1.996,success,,1.996,24.934587590396404,8608,500,57.625266808893535,500,62.39966462748799,62.12734305699296
20,622,4,8.0,1.996,success,,1.996,36.054607508704066,12508,500,11.91660699217983,500,35.08387957167478,35.02933627685147
20,622,5,10.0,1.996,success,,1.996,22.463734470307827,7734,500,33.445708822997545,500,47.23073791827673,47.03695600712031
20,622,6,12.0,1.996,success,,1.996,26.619877122342587,9178,500,24.56294785418291,500,45.26917715614909,45.18493279859135
20,622,7,14.0,0.176,success,,0.176,1.7729094754904509,606,45,38.42123737379121,45,64.45009358437692,64.29525277290942
20,620,0,0.0,1.996,success,,1.996,21.835952369496226,7589,500,20.130714886782723,500,39.62747449131263,39.535413992679366
20,620,1,2.0,1.996,success,,1.996,19.197336070239544,6516,500,43.66108778767641,500,58.42066027620641,57.5723603757056
20,620,2,4.0,1.996,success,,1.996,16.538572067394853,5721,500,66.94777327789511,500,81.20292805676893,80.87376070964237
20,620,3,6.0,1.996,success,,1.996,23.735733430832624,8203,500,48.151308602151936,500,55.508450733248885,55.423569988260624
20,620,4,8.0,1.996,success,,1.996,18.274757428094745,6341,500,32.73013911774418,500,48.91999172774945,48.702953498369546
20,620,5,10.0,1.996,success,,1.996,34.56237147562206,12002,500,19.858872918715523,500,56.25796802599829,56.26007616680314
20,620,6,12.0,1.996,success,,1.996,30.59703609161079,10557,500,13.591471156830838,500,35.08134968464796,34.726318888065286
20,620,7,14.0,0.176,success,,0.176,1.1071362625807524,385,45,41.21488420838008,45,42.91456534994162,42.93120584924931
