lowpass_hz,degree,n_delays,delay_samples,configuration_smooth_0,configuration_smooth_5,configuration_smooth_9,coefficient_count,max_variance,max_standard_deviation,max_variance_equation_index,max_variance_feature_index,max_variance_feature_name,mean_coefficient_at_max_variance,mean_elementwise_variance,relative_rms_variability,mean_pairwise_cosine_similarity,minimum_pairwise_cosine_similarity
35.0,1,2,1,1,2,3,6,1.5019973655780234,1.2255600212058255,0,1,x0,234.03714148349147,0.7656209601461125,0.0045223425575667,0.999999220750388,0.99999871734813
35.0,1,2,2,4,5,6,6,1.473412204059289,1.213841918891949,0,1,x0,106.93507266535794,0.6445886993663209,0.008739683407816197,0.9999890343124894,0.9999819688928491
35.0,1,2,5,7,8,9,6,1.2521741860801912,1.1190058918880594,1,2,x1,-22.61548858794338,0.8132955025100504,0.0352364484861858,0.9998791455115601,0.9998031199322901
35.0,1,4,1,10,11,12,20,178.60969514040866,13.364493822828033,3,3,x2,734.993216235357,28.5843680309841,0.017465543232161214,0.9999708589845436,0.9999518963240079
35.0,1,4,2,13,14,15,20,72.60039802399636,8.520586718295657,0,2,x1,-272.80492107820334,12.482075770783839,0.029886609054264178,0.9998254860870049,0.9997086850946298
35.0,1,4,5,16,17,18,20,6.61507573772428,2.5719789535927933,0,2,x1,-48.582074357613244,1.7813007613068108,0.05369679496608571,0.9982547282949747,0.997151298120385
35.0,1,6,1,19,20,21,42,10269.06192186992,101.33638005114412,0,3,x2,1675.6199668836846,933.7238206322337,0.05239617549156575,0.9989753814340044,0.9984048211072248
35.0,1,6,2,22,23,24,42,732.3745365966988,27.062419267255077,0,4,x3,-167.18797866970908,81.46389595524714,0.07220726549211162,0.9934504962520346,0.9897377208097746
35.0,1,6,5,25,26,27,42,7.264320358675396,2.6952403155702824,0,2,x1,-48.968010657088364,1.5273165400822433,0.05599398585079727,0.9980772357550752,0.9968615820427665
35.0,1,8,1,28,29,30,72,190166.48189409534,436.08082036945325,0,4,x3,-4203.315383303666,12594.117197560989,0.09650854643602516,0.9943563988484488,0.9916049811571425
35.0,1,8,2,31,32,33,72,8246.990099649272,90.81294015529545,7,5,x4,405.121592990612,689.2600734699419,0.17122488543503722,0.9931709800805194,0.988325579207944
35.0,1,8,5,34,35,36,72,5.770995207406247,2.4022895760932417,0,2,x1,-48.84538605084769,0.985150181608721,0.050146320442589855,0.9986081176236485,0.9977116918005028
35.0,2,2,1,37,38,39,12,3.9303402572067156,1.9825085768305557,0,0,1,-18.645766496351225,0.7689302552541472,0.00639548952159838,0.9999637068681827,0.9999397924261983
35.0,2,2,2,40,41,42,12,10.728684358043564,3.2754670442615605,0,0,1,-34.158405342767814,1.4116680105087986,0.017944258410419744,0.9995551668987158,0.9992638022722686
35.0,2,2,5,43,44,45,12,49.22513591289205,7.016062707308997,0,0,1,-46.69678339851139,5.334531422105663,0.10041330549661537,0.9854426233147299,0.9770300981952422
35.0,2,4,1,46,47,48,60,304.9936405379817,17.464067124755953,0,10,x1 x2,12.509249845383998,28.516841154024622,0.030155033871666032,0.9990445722976995,0.9985068865600623
35.0,2,4,2,49,50,51,60,72.3471274220917,8.5057114589017,0,2,x1,-273.6881285568639,4.615191281608458,0.03127064480312269,0.9996285669814325,0.9993854275066254
35.0,2,4,5,52,53,54,60,23.812587587720582,4.879814298487247,1,0,1,-6.883365468318604,1.1082180701314122,0.061776164817859296,0.9948945168515433,0.9917469505919222
