configuration_index,lowpass_hz,stlsq_threshold,training_lfp_rms_uv,degree,n_delays,delay_samples,delay_ms,embedding_span_ms,smooth_window_samples,smooth_window_ms,derivative_method,fit_status,fit_failure_reason,nonzero_terms,possible_terms,term_utilization_percent,fit_runtime_s,feature_names_json,coefficients_json,equations
1,80.0,1000.0,37.49490932254601,2,2,1,4.0,4.0,0,0.0,finite_difference,success,,12,12,100.0,0.6659726556390524,"[""1"", ""x0"", ""x1"", ""x0^2"", ""x0 x1"", ""x1^2""]","[[-38.925929722958706, 197.23602080606875, -206.35556012942152, -0.062358847946700456, 0.2072309035035465, -0.10817948266424354], [32.12075504941435, 206.29604117212367, -197.11870493053266, 0.1613274333876374, -0.3737465323685158, 0.17325149502951548]]",(x0)' = -38.926 1 +  197.236 x0 + -206.356 x1 + -0.062 x0^2 +  0.207 x0 x1 + -0.108 x1^2 | (x1)' =  32.121 1 +  206.296 x0 + -197.119 x1 +  0.161 x0^2 + -0.374 x0 x1 +  0.173 x1^2
2,80.0,1000.0,37.49490932254601,2,2,1,4.0,4.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,12,12,100.0,0.14882497768849134,"[""1"", ""x0"", ""x1"", ""x0^2"", ""x0 x1"", ""x1^2""]","[[-36.05383428077522, 212.34962724140874, -220.53285218103827, -0.05186408861332366, 0.2026937048880403, -0.117490797125231], [24.473167782224948, 220.52961242123212, -212.26285956951594, 0.23124406150571566, -0.48482689914418925, 0.21826128241220405]]",(x0)' = -36.054 1 +  212.350 x0 + -220.533 x1 + -0.052 x0^2 +  0.203 x0 x1 + -0.117 x1^2 | (x1)' =  24.473 1 +  220.530 x0 + -212.263 x1 +  0.231 x0^2 + -0.485 x0 x1 +  0.218 x1^2
3,80.0,1000.0,37.49490932254601,2,2,1,4.0,4.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,12,12,100.0,0.13949222024530172,"[""1"", ""x0"", ""x1"", ""x0^2"", ""x0 x1"", ""x1^2""]","[[-19.44314178900775, 231.25917843877585, -237.2336468547829, -0.13081725171959466, 0.3115527915186215, -0.1584939836118008], [14.302265966581507, 237.2620798367892, -231.27079518221214, 0.24496592505333564, -0.456355920145747, 0.18976388182962592]]",(x0)' = -19.443 1 +  231.259 x0 + -237.234 x1 + -0.131 x0^2 +  0.312 x0 x1 + -0.158 x1^2 | (x1)' =  14.302 1 +  237.262 x0 + -231.271 x1 +  0.245 x0^2 + -0.456 x0 x1 +  0.190 x1^2
4,80.0,1000.0,37.49490932254601,2,2,2,8.0,8.0,0,0.0,finite_difference,success,,12,12,100.0,0.12922721169888973,"[""1"", ""x0"", ""x1"", ""x0^2"", ""x0 x1"", ""x1^2""]","[[-65.7913398464665, 82.13038453631854, -95.76623141323611, 0.0139989923393027, 0.07440585832394574, -0.031357460999691396], [39.04303710268161, 95.87372278887284, -82.04992236145975, 0.09301949571173039, -0.22877942857684297, 0.07569522826895297]]",(x0)' = -65.791 1 +  82.130 x0 + -95.766 x1 +  0.014 x0^2 +  0.074 x0 x1 + -0.031 x1^2 | (x1)' =  39.043 1 +  95.874 x0 + -82.050 x1 +  0.093 x0^2 + -0.229 x0 x1 +  0.076 x1^2
5,80.0,1000.0,37.49490932254601,2,2,2,8.0,8.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,12,12,100.0,0.13871781062334776,"[""1"", ""x0"", ""x1"", ""x0^2"", ""x0 x1"", ""x1^2""]","[[-61.396644682837426, 90.75058834688552, -104.09877842592185, 0.010769468857639426, 0.08915921895021738, -0.04482304501658861], [33.20814568659525, 104.22514992272527, -90.68254006797513, 0.12046401283841798, -0.2661206588034746, 0.0879877901946928]]",(x0)' = -61.397 1 +  90.751 x0 + -104.099 x1 +  0.011 x0^2 +  0.089 x0 x1 + -0.045 x1^2 | (x1)' =  33.208 1 +  104.225 x0 + -90.683 x1 +  0.120 x0^2 + -0.266 x0 x1 +  0.088 x1^2
6,80.0,1000.0,37.49490932254601,2,2,2,8.0,8.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,12,12,100.0,0.14203470386564732,"[""1"", ""x0"", ""x1"", ""x0^2"", ""x0 x1"", ""x1^2""]","[[-34.5434976538293, 105.38668265557645, -116.34892835835264, -0.04880957737139584, 0.16071556042035193, -0.07156203998560885], [26.081555122754285, 116.39314334439295, -105.39283260161599, 0.11713060849356256, -0.21938057634011707, 0.06256869313441817]]",(x0)' = -34.543 1 +  105.387 x0 + -116.349 x1 + -0.049 x0^2 +  0.161 x0 x1 + -0.072 x1^2 | (x1)' =  26.082 1 +  116.393 x0 + -105.393 x1 +  0.117 x0^2 + -0.219 x0 x1 +  0.063 x1^2
7,80.0,1000.0,37.49490932254601,2,2,5,20.0,20.0,0,0.0,finite_difference,success,,12,12,100.0,0.11484281253069639,"[""1"", ""x0"", ""x1"", ""x0^2"", ""x0 x1"", ""x1^2""]","[[-56.59298884008622, 18.446725702479725, -32.75697586461517, 0.042374813665989455, -0.0047801538462301785, 0.0008023294672334842], [-21.075736527029214, 33.39091673275949, -18.65310183186451, 0.10109465879869203, -0.1179945084550525, -0.020019450244170834]]",(x0)' = -56.593 1 +  18.447 x0 + -32.757 x1 +  0.042 x0^2 + -0.005 x0 x1 +  0.001 x1^2 | (x1)' = -21.076 1 +  33.391 x0 + -18.653 x1 +  0.101 x0^2 + -0.118 x0 x1 + -0.020 x1^2
8,80.0,1000.0,37.49490932254601,2,2,5,20.0,20.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,11,12,91.66666666666667,0.13441637065261602,"[""1"", ""x0"", ""x1"", ""x0^2"", ""x0 x1"", ""x1^2""]","[[-53.60240240328679, 18.771486324259417, -33.01607659707262, 0.04077575414544487, 0.0, -0.002004194663261363], [-18.88481040680268, 33.58749878168516, -18.960124678379714, 0.09902965662257945, -0.11586857174661316, -0.019819515122072584]]",(x0)' = -53.602 1 +  18.771 x0 + -33.016 x1 +  0.041 x0^2 + -0.002 x1^2 | (x1)' = -18.885 1 +  33.587 x0 + -18.960 x1 +  0.099 x0^2 + -0.116 x0 x1 + -0.020 x1^2
9,80.0,1000.0,37.49490932254601,2,2,5,20.0,20.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,11,12,91.66666666666667,0.13593547698110342,"[""1"", ""x0"", ""x1"", ""x0^2"", ""x0 x1"", ""x1^2""]","[[-50.32984580493721, 22.6278440891141, -37.97576060678166, 0.02573695154434477, 0.020500836989372023, 0.0], [8.546070505040774, 38.2990366694908, -22.809301180666836, 0.06899351900140524, -0.08640222406446657, -0.023712753528242182]]",(x0)' = -50.330 1 +  22.628 x0 + -37.976 x1 +  0.026 x0^2 +  0.021 x0 x1 | (x1)' =  8.546 1 +  38.299 x0 + -22.809 x1 +  0.069 x0^2 + -0.086 x0 x1 + -0.024 x1^2
10,80.0,1000.0,37.49490932254601,2,4,1,4.0,12.0,0,0.0,finite_difference,success,,60,60,100.0,0.4530932968482375,"[""1"", ""x0"", ""x1"", ""x2"", ""x3"", ""x0^2"", ""x0 x1"", ""x0 x2"", ""x0 x3"", ""x1^2"", ""x1 x2"", ""x1 x3"", ""x2^2"", ""x2 x3"", ""x3^2""]","[[-64.74198763078199, 259.2967651300881, -374.045974109434, 167.96814250288344, -60.391496887766685, -0.4286442953147941, 1.5789360522018105, -1.257180268203072, 0.5569597885493027, -1.0233688595748356, 1.0723793790494516, -0.6134954986686545, 0.2500823444313, -0.25252259095602037, 0.13935862653467349], [-0.3380125291385721, 124.98369802153783, 0.10672724568860534, -125.16008841076243, 0.06896507156656595, -0.003130176512793036, 0.008385924700423193, -0.0004655484149220232, -0.001311195815135282, -0.00111585922187777, -0.02277479468729168, 0.014502033630050327, 0.029967583754319, -0.032735680451373705, 0.008704785814155735], [-0.4715315047515752, -0.068817692395809, 125.13472974346665, -0.060542520941518824, -125.00671277395065, 0.001711689284441349, -0.0012744985884251092, -0.007527375582725123, 0.005935771569240131, 0.0028497417435114276, -0.0067112074106822316, 0.001240471248751588, 0.016405220694317147, -0.017570626212571827, 0.005000152711731921], [41.810952967357224, 60.54713939627412, -167.95812822669998, 374.10986662606865, -259.38586644239564, 0.35688461668772375, -1.1700851919495079, 1.1675782947668178, -0.6428329165750529, 0.6853236226552837, -1.0696663674709088, 0.8113370932350331, 0.1426777449842013, -0.4018013775451843, 0.0975480667398522]]",(x0)' = -64.742 1 +  259.297 x0 + -374.046 x1 +  167.968 x2 + -60.391 x3 + -0.429 x0^2 +  1.579 x0 x1 + -1.257 x0 x2 +  0.557 x0 x3 + -1.023 x1^2 +  1.072 x1 x2 + -0.613 x1 x3 +  0.250 x2^2 + -0.253 x2 x3 +  0.139 x3^2 | (x1)' = -0.338 1 +  124.984 x0 +  0.107 x1 + -125.160 x2 +  0.069 x3 + -0.003 x0^2 +  0.008 x0 x1 + -0.001 x0 x3 + -0.001 x1^2 + -0.023 x1 x2 +  0.015 x1 x3 +  0.030 x2^2 + -0.033 x2 x3 +  0.009 x3^2 | (x2)' = -0.472 1 + -0.069 x0 +  125.135 x1 + -0.061 x2 + -125.007 x3 +  0.002 x0^2 + -0.001 x0 x1 + -0.008 x0 x2 +  0.006 x0 x3 +  0.003 x1^2 + -0.007 x1 x2 +  0.001 x1 x3 +  0.016 x2^2 + -0.018 x2 x3 +  0.005 x3^2 | (x3)' =  41.811 1 +  60.547 x0 + -167.958 x1 +  374.110 x2 + -259.386 x3 +  0.357 x0^2 + -1.170 x0 x1 +  1.168 x0 x2 + -0.643 x0 x3 +  0.685 x1^2 + -1.070 x1 x2 +  0.811 x1 x3 +  0.143 x2^2 + -0.402 x2 x3 +  0.098 x3^2
