configuration_index,lowpass_hz,stlsq_threshold,training_lfp_rms_uv,degree,n_delays,delay_samples,delay_ms,embedding_span_ms,smooth_window_samples,smooth_window_ms,derivative_method,fit_status,fit_failure_reason,nonzero_terms,possible_terms,term_utilization_percent,fit_runtime_s,feature_names_json,coefficients_json,equations
1,80.0,100.0,37.49490932254601,3,2,1,4.0,4.0,0,0.0,finite_difference,success,,20,20,100.0,0.7239759992808104,"[""1"", ""x0"", ""x1"", ""x0^2"", ""x0 x1"", ""x1^2"", ""x0^3"", ""x0^2 x1"", ""x0 x1^2"", ""x1^3""]","[[-27.19217677951971, 196.92852049715108, -206.45637002258536, -0.14366470769238895, 0.35690097172914964, -0.1813332206457995, -0.0003288413966369778, -0.003798310456012357, 0.008318524938607253, -0.004011210646804595], [18.648930841447054, 206.51159702119668, -197.14806976778064, 0.26137657298822986, -0.5638775747639025, 0.2679407317899598, 0.0016191029063600598, -0.00011379250697310142, -0.00471473260683507, 0.003063898092766148]]",(x0)' = -27.192 1 +  196.929 x0 + -206.456 x1 + -0.144 x0^2 +  0.357 x0 x1 + -0.181 x1^2 + -0.004 x0^2 x1 +  0.008 x0 x1^2 + -0.004 x1^3 | (x1)' =  18.649 1 +  206.512 x0 + -197.148 x1 +  0.261 x0^2 + -0.564 x0 x1 +  0.268 x1^2 +  0.002 x0^3 + -0.005 x0 x1^2 +  0.003 x1^3
2,80.0,100.0,37.49490932254601,3,2,1,4.0,4.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,20,20,100.0,0.19904598407447338,"[""1"", ""x0"", ""x1"", ""x0^2"", ""x0 x1"", ""x1^2"", ""x0^3"", ""x0^2 x1"", ""x0 x1^2"", ""x1^3""]","[[-23.865003460273858, 212.40493531200943, -220.93829917534558, -0.1560004314643095, 0.39592091435437304, -0.21128274376826625, -0.0009208662658639862, -0.0028260923869281116, 0.008053495776207741, -0.004140582862781373], [11.678291372859174, 220.87691153907642, -212.41932367405929, 0.3420804650420247, -0.700179621532158, 0.3272431278181188, 0.001657102754722987, 0.00023988970163704978, -0.005609553118358429, 0.003573828682780866]]",(x0)' = -23.865 1 +  212.405 x0 + -220.938 x1 + -0.156 x0^2 +  0.396 x0 x1 + -0.211 x1^2 + -0.001 x0^3 + -0.003 x0^2 x1 +  0.008 x0 x1^2 + -0.004 x1^3 | (x1)' =  11.678 1 +  220.877 x0 + -212.419 x1 +  0.342 x0^2 + -0.700 x0 x1 +  0.327 x1^2 +  0.002 x0^3 + -0.006 x0 x1^2 +  0.004 x1^3
3,80.0,100.0,37.49490932254601,3,2,1,4.0,4.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,20,20,100.0,0.19229284673929214,"[""1"", ""x0"", ""x1"", ""x0^2"", ""x0 x1"", ""x1^2"", ""x0^3"", ""x0^2 x1"", ""x0 x1^2"", ""x1^3""]","[[-10.768116516131114, 231.89126159799224, -238.30512144747647, -0.22585775441476078, 0.49543961930939256, -0.2513229778035853, -0.00466709884651247, 0.008143067330526544, -0.0023074972938733427, -0.0010096732003480558], [4.681057958057003, 238.34323555164482, -231.96823052648028, 0.3477797771441504, -0.6697040553579353, 0.30472988024707814, -0.0002867916376549157, 0.0076119060841566095, -0.014663240554703307, 0.007174448984606058]]",(x0)' = -10.768 1 +  231.891 x0 + -238.305 x1 + -0.226 x0^2 +  0.495 x0 x1 + -0.251 x1^2 + -0.005 x0^3 +  0.008 x0^2 x1 + -0.002 x0 x1^2 + -0.001 x1^3 | (x1)' =  4.681 1 +  238.343 x0 + -231.968 x1 +  0.348 x0^2 + -0.670 x0 x1 +  0.305 x1^2 +  0.008 x0^2 x1 + -0.015 x0 x1^2 +  0.007 x1^3
4,80.0,100.0,37.49490932254601,3,2,2,8.0,8.0,0,0.0,finite_difference,success,,20,20,100.0,0.18111191876232624,"[""1"", ""x0"", ""x1"", ""x0^2"", ""x0 x1"", ""x1^2"", ""x0^3"", ""x0^2 x1"", ""x0 x1^2"", ""x1^3""]","[[-45.076220987843804, 81.87894326185146, -96.29384092680594, -0.03159221052789853, 0.15025161599295644, -0.07084278236405969, -0.0007645659397792929, -0.00015977015305745307, 0.002581226634418743, -0.0013348989535122663], [16.700071993809065, 96.42608936868109, -82.0877827491452, 0.14165796393972346, -0.31735510322819466, 0.12464592425713399, 0.000870575983008425, -0.0004296561810362548, -0.0021354322455547927, 0.0014109794848973889]]",(x0)' = -45.076 1 +  81.879 x0 + -96.294 x1 + -0.032 x0^2 +  0.150 x0 x1 + -0.071 x1^2 + -0.001 x0^3 +  0.003 x0 x1^2 + -0.001 x1^3 | (x1)' =  16.700 1 +  96.426 x0 + -82.088 x1 +  0.142 x0^2 + -0.317 x0 x1 +  0.125 x1^2 +  0.001 x0^3 + -0.002 x0 x1^2 +  0.001 x1^3
5,80.0,100.0,37.49490932254601,3,2,2,8.0,8.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,20,20,100.0,0.1876095775514841,"[""1"", ""x0"", ""x1"", ""x0^2"", ""x0 x1"", ""x1^2"", ""x0^3"", ""x0^2 x1"", ""x0 x1^2"", ""x1^3""]","[[-39.843570561630244, 90.67675095237477, -104.84124556050932, -0.04220388227880007, 0.17909533022599514, -0.09112190897867421, -0.0009812757045518027, 0.0002510668824333037, 0.002414126533335432, -0.0013567913008698178], [10.848729722271376, 104.89426479930871, -90.77206202549753, 0.17287959681395043, -0.3644257949418669, 0.14307537942341714, 0.0009271779402524896, -0.00039267583896884783, -0.0024399831374809105, 0.0016110673265715115]]",(x0)' = -39.844 1 +  90.677 x0 + -104.841 x1 + -0.042 x0^2 +  0.179 x0 x1 + -0.091 x1^2 + -0.001 x0^3 +  0.002 x0 x1^2 + -0.001 x1^3 | (x1)' =  10.849 1 +  104.894 x0 + -90.772 x1 +  0.173 x0^2 + -0.364 x0 x1 +  0.143 x1^2 +  0.001 x0^3 + -0.002 x0 x1^2 +  0.002 x1^3
6,80.0,100.0,37.49490932254601,3,2,2,8.0,8.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,20,20,100.0,0.1724882684648037,"[""1"", ""x0"", ""x1"", ""x0^2"", ""x0 x1"", ""x1^2"", ""x0^3"", ""x0^2 x1"", ""x0 x1^2"", ""x1^3""]","[[-18.017859239433264, 105.45352778390439, -117.40375965519337, -0.09426000571310188, 0.24381859562349414, -0.11779221947035613, -0.0016974648110550182, 0.0023862198577660077, 0.0006591320163137797, -0.0010141287110541472], [8.187379262957222, 117.20605783255695, -105.3619202303618, 0.16558221965905204, -0.31571508913550866, 0.11950937431028895, 0.001026960961667445, 1.9028653288972813e-05, -0.003572777309136943, 0.0021966602972599294]]",(x0)' = -18.018 1 +  105.454 x0 + -117.404 x1 + -0.094 x0^2 +  0.244 x0 x1 + -0.118 x1^2 + -0.002 x0^3 +  0.002 x0^2 x1 +  0.001 x0 x1^2 + -0.001 x1^3 | (x1)' =  8.187 1 +  117.206 x0 + -105.362 x1 +  0.166 x0^2 + -0.316 x0 x1 +  0.120 x1^2 +  0.001 x0^3 + -0.004 x0 x1^2 +  0.002 x1^3
7,80.0,100.0,37.49490932254601,3,2,5,20.0,20.0,0,0.0,finite_difference,success,,19,20,95.0,0.17738568782806396,"[""1"", ""x0"", ""x1"", ""x0^2"", ""x0 x1"", ""x1^2"", ""x0^3"", ""x0^2 x1"", ""x0 x1^2"", ""x1^3""]","[[-31.43481569445284, 17.888109648344106, -34.809328784848255, 0.02794010013721464, 0.0, -0.011063798363827041, -0.0003591125336500865, 0.0009288402774749281, 0.00019439051569901608, -3.741490248813653e-05], [-48.819862099170756, 35.42748668028267, -18.149794754982786, 0.11236615753427295, -0.129098451868106, 0.001174737143909081, 4.554679338170362e-05, -0.0002929842086180654, -0.0009026278540399747, 0.00042350245605759064]]",(x0)' = -31.435 1 +  17.888 x0 + -34.809 x1 +  0.028 x0^2 + -0.011 x1^2 +  0.001 x0^2 x1 | (x1)' = -48.820 1 +  35.427 x0 + -18.150 x1 +  0.112 x0^2 + -0.129 x0 x1 +  0.001 x1^2 + -0.001 x0 x1^2
8,80.0,100.0,37.49490932254601,3,2,5,20.0,20.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,20,20,100.0,0.16971154510974884,"[""1"", ""x0"", ""x1"", ""x0^2"", ""x0 x1"", ""x1^2"", ""x0^3"", ""x0^2 x1"", ""x0 x1^2"", ""x1^3""]","[[-27.404478846225924, 18.288325193108253, -35.08995404484779, 0.025151921991016207, 0.007138207102862751, -0.015220753789774671, -0.0004024662194923508, 0.0010060083361158017, 0.00017907831668354638, -5.454229785260141e-05], [-46.25815855212863, 35.63216999947063, -18.452593189677756, 0.11028589230676958, -0.12666156292821285, 0.001229298974643962, 4.49026356237832e-05, -0.0002472837808998228, -0.0009585366619463986, 0.00043176574769761625]]",(x0)' = -27.404 1 +  18.288 x0 + -35.090 x1 +  0.025 x0^2 +  0.007 x0 x1 + -0.015 x1^2 +  0.001 x0^2 x1 | (x1)' = -46.258 1 +  35.632 x0 + -18.453 x1 +  0.110 x0^2 + -0.127 x0 x1 +  0.001 x1^2 + -0.001 x0 x1^2
9,80.0,100.0,37.49490932254601,3,2,5,20.0,20.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,20,20,100.0,0.1714020874351263,"[""1"", ""x0"", ""x1"", ""x0^2"", ""x0 x1"", ""x1^2"", ""x0^3"", ""x0^2 x1"", ""x0 x1^2"", ""x1^3""]","[[-12.736763890396732, 22.191475947682214, -40.12483241812035, 0.006315708821312535, 0.04535743296667193, -0.030130891391774436, -0.0005504278070693636, 0.0012416279968014878, 0.0002598328805752338, -0.0001722176143131769], [-19.35352492331846, 40.304466420229524, -22.169964409930728, 0.082118495606552, -0.09797601916520658, -0.002016475458703008, 0.0001296168546357859, -0.00010186002999752927, -0.0013347094816891876, 0.0005267376938474321]]",(x0)' = -12.737 1 +  22.191 x0 + -40.125 x1 +  0.006 x0^2 +  0.045 x0 x1 + -0.030 x1^2 + -0.001 x0^3 +  0.001 x0^2 x1 | (x1)' = -19.354 1 +  40.304 x0 + -22.170 x1 +  0.082 x0^2 + -0.098 x0 x1 + -0.002 x1^2 + -0.001 x0 x1^2 +  0.001 x1^3
10,80.0,100.0,37.49490932254601,3,4,1,4.0,12.0,0,0.0,finite_difference,success,,139,140,99.28571428571429,1.292641481384635,"[""1"", ""x0"", ""x1"", ""x2"", ""x3"", ""x0^2"", ""x0 x1"", ""x0 x2"", ""x0 x3"", ""x1^2"", ""x1 x2"", ""x1 x3"", ""x2^2"", ""x2 x3"", ""x3^2"", ""x0^3"", ""x0^2 x1"", ""x0^2 x2"", ""x0^2 x3"", ""x0 x1^2"", ""x0 x1 x2"", ""x0 x1 x3"", ""x0 x2^2"", ""x0 x2 x3"", ""x0 x3^2"", ""x1^3"", ""x1^2 x2"", ""x1^2 x3"", ""x1 x2^2"", ""x1 x2 x3"", ""x1 x3^2"", ""x2^3"", ""x2^2 x3"", ""x2 x3^2"", ""x3^3""]","[[-46.751593729612566, 257.8937504684517, -373.13589444006476, 168.7032223289247, -61.133884264700704, -0.42783485139617, 1.5765192702998667, -1.2564206935972473, 0.5475400126939505, -1.1251570852170458, 1.3993306184829348, -0.7291550920553488, -0.0552354133599034, 0.020583536745466004, 0.06260788520487941, 0.009258443628327987, -0.061465783746874524, 0.054792747696987054, -0.025446774976019864, 0.12679081207584064, -0.20516754266570425, 0.09228454271956858, 0.06583335771853836, -0.048987069951077315, 0.005946203746526913, -0.08533233487827095, 0.19538413779136385, -0.08884713683901144, -0.12146288234512287, 0.09883136819787425, -0.013144625423505796, 0.0159844572519881, -0.01647217294606101, 0.000585956839034118, 0.0009298672884134486], [0.1548996541014522, 124.94567872224596, 0.10758547655011011, -125.0629440861512, 0.024243680279066447, -0.002507057949921919, 0.005818841926381563, -0.00014089330845527663, -0.00013027119951485017, -0.0037534546601510916, -0.00011901966448007339, 0.00029482894406998816, 0.0036463017700059403, -0.004978516244270595, 0.001825259305198692, 0.00020002518218554388, -0.001575179254900817, 0.0018097538913219718, -0.0008212702464639429, 0.0038392642769794457, -0.008070817211514706, 0.003532922184297747, 0.0037479224461656425, -0.0031007362533294253, 0.0006298839784393292, -0.0028886935656574656, 0.007766690518035732, -0.003171879142403659, -0.004968973377985498, 0.003531274547825253, -0.0006573351504695298, -0.00011759657600961754, 0.0005494304809172526, -0.00023429584979764152, 0.0], [-0.0712208567406026, -0.04800406757763099, 125.03651226167175, 0.10639401835307362, -125.08122866756081, 0.0009771968811866356, -0.000647613072159648, -0.006545878164158556, 0.005533748076656877, 3.187129245888063e-05, 0.007029276748072835, -0.006307880020247294, -0.0005206409636501187, -0.0005016440348942006, 0.0009665426438565547, 8.241165436454872e-05, -0.0008835424044704202, 0.0010848390511300598, -0.00047714904543456, 0.002007251518507334, -0.0032078052815675538, 0.0009029311795461257, 0.00039103071958858566, 0.00045973575468751324, -0.0002600100594111488, -0.0011227537537410552, 0.0007892740401025091, 0.0005851349102377456, 0.0035232639943101767, -0.0052161089198598, 0.0014963395772821808, -0.0031699779747697467, 0.005140460151009051, -0.002506606154913172, 0.00038077941349357584], [24.35196293312711, 61.6092131213129, -166.96151708864429, 371.2716782022817, -258.4341683731969, 0.3518830089647777, -1.1464552438104791, 1.1676115961070865, -0.6542345079111471, 0.7385057336744258, -1.338992570356607, 0.9398295997301138, 0.4206341993489322, -0.6649191393003024, 0.17407736828757603, -0.0037182142856558215, 0.026047227281201887, -0.013829389666340789, 0.0028106027362601455, -0.060412928095204974, 0.07322512556842642, -0.020727971578252808, -0.01100133687035726, -0.011044978461368801, 0.010131978351420795, 0.046357623425599986, -0.09284630635736416, 0.035506128630938535, 0.045455903664645476, -0.019858908962196335, -0.007361404428623608, -0.003195768473962171, 0.0018523469506905195, 0.0016795913459481976, 0.0006355310362704971]]",(x0)' = -46.752 1 +  257.894 x0 + -373.136 x1 +  168.703 x2 + -61.134 x3 + -0.428 x0^2 +  1.577 x0 x1 + -1.256 x0 x2 +  0.548 x0 x3 + -1.125 x1^2 +  1.399 x1 x2 + -0.729 x1 x3 + -0.055 x2^2 +  0.021 x2 x3 +  0.063 x3^2 +  0.009 x0^3 + -0.061 x0^2 x1 +  0.055 x0^2 x2 + -0.025 x0^2 x3 +  0.127 x0 x1^2 + -0.205 x0 x1 x2 +  0.092 x0 x1 x3 +  0.066 x0 x2^2 + -0.049 x0 x2 x3 +  0.006 x0 x3^2 + -0.085 x1^3 +  0.195 x1^2 x2 + -0.089 x1^2 x3 + -0.121 x1 x2^2 +  0.099 x1 x2 x3 + -0.013 x1 x3^2 +  0.016 x2^3 + -0.016 x2^2 x3 +  0.001 x2 x3^2 +  0.001 x3^3 | (x1)' =  0.155 1 +  124.946 x0 +  0.108 x1 + -125.063 x2 +  0.024 x3 + -0.003 x0^2 +  0.006 x0 x1 + -0.004 x1^2 +  0.004 x2^2 + -0.005 x2 x3 +  0.002 x3^2 + -0.002 x0^2 x1 +  0.002 x0^2 x2 + -0.001 x0^2 x3 +  0.004 x0 x1^2 + -0.008 x0 x1 x2 +  0.004 x0 x1 x3 +  0.004 x0 x2^2 + -0.003 x0 x2 x3 +  0.001 x0 x3^2 + -0.003 x1^3 +  0.008 x1^2 x2 + -0.003 x1^2 x3 + -0.005 x1 x2^2 +  0.004 x1 x2 x3 + -0.001 x1 x3^2 +  0.001 x2^2 x3 | (x2)' = -0.071 1 + -0.048 x0 +  125.037 x1 +  0.106 x2 + -125.081 x3 +  0.001 x0^2 + -0.001 x0 x1 + -0.007 x0 x2 +  0.006 x0 x3 +  0.007 x1 x2 + -0.006 x1 x3 + -0.001 x2^2 + -0.001 x2 x3 +  0.001 x3^2 + -0.001 x0^2 x1 +  0.001 x0^2 x2 +  0.002 x0 x1^2 + -0.003 x0 x1 x2 +  0.001 x0 x1 x3 + -0.001 x1^3 +  0.001 x1^2 x2 +  0.001 x1^2 x3 +  0.004 x1 x2^2 + -0.005 x1 x2 x3 +  0.001 x1 x3^2 + -0.003 x2^3 +  0.005 x2^2 x3 + -0.003 x2 x3^2 | (x3)' =  24.352 1 +  61.609 x0 + -166.962 x1 +  371.272 x2 + -258.434 x3 +  0.352 x0^2 + -1.146 x0 x1 +  1.168 x0 x2 + -0.654 x0 x3 +  0.739 x1^2 + -1.339 x1 x2 +  0.940 x1 x3 +  0.421 x2^2 + -0.665 x2 x3 +  0.174 x3^2 + -0.004 x0^3 +  0.026 x0^2 x1 + -0.014 x0^2 x2 +  0.003 x0^2 x3 + -0.060 x0 x1^2 +  0.073 x0 x1 x2 + -0.021 x0 x1 x3 + -0.011 x0 x2^2 + -0.011 x0 x2 x3 +  0.010 x0 x3^2 +  0.046 x1^3 + -0.093 x1^2 x2 +  0.036 x1^2 x3 +  0.045 x1 x2^2 + -0.020 x1 x2 x3 + -0.007 x1 x3^2 + -0.003 x2^3 +  0.002 x2^2 x3 +  0.002 x2 x3^2 +  0.001 x3^3
